@RELATION training

@ATTRIBUTE currentTimeSlot NUMERIC
@ATTRIBUTE hour NUMERIC
@ATTRIBUTE hourAhead NUMERIC
@ATTRIBUTE date NUMERIC
@ATTRIBUTE month NUMERIC
@ATTRIBUTE year NUMERIC
@ATTRIBUTE NUMBER_OF_BROKERS NUMERIC
@ATTRIBUTE NUMBER_OF_PRODUCERS NUMERIC
@ATTRIBUTE PrevDayHAMarketClearingPrice NUMERIC
@ATTRIBUTE PrevHAMarketClearingPrice NUMERIC
@ATTRIBUTE CloudCoverage NUMERIC
@ATTRIBUTE Temperature NUMERIC
@ATTRIBUTE WSpeed NUMERIC
@ATTRIBUTE WDirection NUMERIC
@ATTRIBUTE MarketClearingPrice NUMERIC

@DATA
43,19,0,36791,10,2016,4,1,53.692228517060514,53.428852306909725,1.0,12.6,295.0,4.48,53.692228517060514
44,20,23,36792,10,2016,4,1,14.797589748769798,0.0,0.964,10.1,276.0,4.37,14.797589748769798
44,20,22,36793,10,2016,4,1,47.96151717945588,14.797589748769798,0.954,9.8,278.0,4.27,47.96151717945588
44,20,21,36794,10,2016,4,1,48.062282559333084,47.96151717945588,0.958,10.1,276.0,3.95,48.062282559333084
44,20,20,36795,10,2016,4,1,47.99431463019906,48.062282559333084,0.945,10.2,276.0,3.9,47.99431463019906
44,20,19,36796,10,2016,4,1,47.91937387465856,47.99431463019906,0.901,10.3,250.0,7.81,47.91937387465856
44,20,18,36797,10,2016,4,1,47.97197523977628,47.91937387465856,0.911,10.3,250.0,7.96,46.779395737959646
44,20,17,36798,10,2016,4,1,48.188822011294505,46.779395737959646,0.92,10.8,256.0,8.42,48.188822011294505
44,20,16,36799,10,2016,4,1,48.70182504697745,48.188822011294505,0.916,11.0,259.0,7.95,48.44632536718697
44,20,15,36800,10,2016,4,1,48.64966870632088,48.44632536718697,0.878,10.8,252.0,7.84,48.64966870632088
44,20,14,36801,10,2016,4,1,48.630807648293754,48.64966870632088,0.879,11.4,253.0,7.69,48.630807648293754
44,20,13,36802,10,2016,4,1,48.95709443635684,48.630807648293754,0.852,12.5,256.0,7.25,48.95709443635684
44,20,5,36810,10,2016,4,1,50.48787865783796,0.0,0.997,13.5,256.0,6.64,50.48787865783796
44,20,4,36811,10,2016,4,1,50.29055830479016,50.48787865783796,0.946,13.9,254.0,6.17,50.29055830479016
44,20,3,36812,10,2016,4,1,50.4041612035028,50.29055830479016,0.903,12.8,260.0,5.37,50.4041612035028
44,20,2,36813,10,2016,4,1,50.41953363490328,50.4041612035028,0.936,13.0,258.0,4.96,50.41953363490328
44,20,1,36814,10,2016,4,1,50.634560829877586,50.41953363490328,0.918,12.7,264.0,4.55,50.634560829877586
44,20,0,36815,10,2016,4,1,50.713809892691295,50.634560829877586,1.0,12.0,265.0,4.48,50.713809892691295
45,21,23,36816,10,2016,4,1,14.751213926959178,0.0,0.964,10.0,276.0,3.37,14.751213926959178
45,21,22,36817,10,2016,4,1,41.666705598518384,14.751213926959178,0.954,9.7,278.0,3.27,41.666705598518384
45,21,21,36818,10,2016,4,1,42.78787220829897,41.666705598518384,0.958,10.0,276.0,2.95,42.78787220829897
45,21,20,36819,10,2016,4,1,42.69565443616827,42.78787220829897,0.901,10.2,250.0,6.98,42.69565443616827
45,21,19,36820,10,2016,4,1,43.838162658053676,42.69565443616827,0.901,10.2,250.0,6.81,43.838162658053676
45,21,18,36821,10,2016,4,1,43.72518608189847,43.838162658053676,0.911,10.2,250.0,6.96,43.72518608189847
45,21,17,36822,10,2016,4,1,43.695440663180754,43.72518608189847,0.92,10.7,256.0,7.42,43.695440663180754
45,21,16,36823,10,2016,4,1,43.63881970607718,43.695440663180754,0.916,10.9,259.0,6.95,43.63881970607718
45,21,15,36824,10,2016,4,1,43.52609495432681,43.63881970607718,0.878,10.7,252.0,6.84,43.52609495432681
45,21,14,36825,10,2016,4,1,43.68339233815729,43.52609495432681,0.879,11.3,253.0,6.69,43.68339233815729
45,21,13,36826,10,2016,4,1,0.0,43.68339233815729,0.852,12.4,256.0,6.25,43.64471545607052
45,21,5,36834,10,2016,4,1,43.67236614074833,0.0,0.997,13.4,256.0,5.64,43.67236614074833
45,21,4,36835,10,2016,4,1,43.72652340625149,43.67236614074833,0.946,13.8,254.0,5.17,43.72652340625149
45,21,3,36836,10,2016,4,1,43.646899869795746,43.72652340625149,0.903,12.7,260.0,4.37,43.646899869795746
45,21,2,36837,10,2016,4,1,44.07640802715737,43.646899869795746,0.936,12.9,258.0,3.96,44.07640802715737
45,21,1,36838,10,2016,4,1,43.86014589699728,44.07640802715737,0.918,12.6,264.0,3.55,43.86014589699728
45,21,0,36839,10,2016,4,1,43.8854308016956,43.86014589699728,1.0,11.9,265.0,3.48,43.8854308016956
46,22,23,36840,10,2016,4,1,15.02923333708428,0.0,0.964,9.7,326.0,1.37,15.02923333708428
